Location,Denominator,Prevalence,Lower CI,Upper CI,Year,Source
RI,146041,4.4,4.1,4.8,2004,sped
SC,630448,2.2,2.1,2.3,2004,sped
SD,112368,3.1,2.8,3.4,2004,sped
TN,843716,2.3,2.2,2.4,2004,sped
TX,3866616,3,3,3.1,2004,sped
US,,3.6,3.5,3.6,2004,sped
UT,453483,2.7,2.5,2.8,2004,sped
VA,1099140,3.6,3.5,3.7,2004,sped
VT,88167,3,2.7,3.4,2004,sped
WA,936865,3.4,3.3,3.5,2004,sped
WI,778589,4.7,4.6,4.9,2004,sped
WV,251197,2.2,2.1,2.4,2004,sped
AK,121440,3,2.7,3.4,2005,sped
AL,678578,2.6,2.5,2.7,2005,sped
AR,425018,3.1,3,3.3,2005,sped
AZ,1000752,3.1,3,3.2,2005,sped
CA,5801532,4.4,4.3,4.4,2005,sped
CO,697217,1.8,1.7,1.9,2005,sped
CT,521079,5.1,4.9,5.3,2005,sped
DE,111746,3.9,3.6,4.3,2005,sped
FL,2424459,3,3,3.1,2005,sped
GA,1431431,3.8,3.7,3.9,2005,sped
HI,166989,4.7,4.4,5,2005,sped
IA,439221,2.6,2.4,2.8,2005,sped
ID,239211,3.4,3.2,3.6,2005,sped
IL,1891388,4,3.9,4.1,2005,sped
IN,949054,6.5,6.3,6.6,2005,sped
KS,415344,2.9,2.8,3.1,2005,sped
KY,586381,2.9,2.8,3.1,2005,sped
LA,578261,2.7,2.6,2.9,2005,sped
MA,879050,5.5,5.3,5.6,2005,sped
MD,778943,5.6,5.4,5.8,2005,sped
ME,179838,6.2,5.8,6.6,2005,sped
MI,1547451,5.1,5,5.2,2005,sped
MN,767680,9.1,8.9,9.3,2005,sped
MO,831636,4.2,4.1,4.4,2005,sped
MS,440341,1.6,1.5,1.7,2005,sped
MT,134039,2.1,1.9,2.4,2005,sped
NC,1289760,4.1,4,4.2,2005,sped
ND,90652,2.9,2.6,3.3,2005,sped
NE,258295,3.1,2.9,3.3,2005,sped
NH,192270,3.9,3.6,4.2,2005,sped
NJ,1214239,5.2,5.1,5.3,2005,sped
NM,295548,1.5,1.4,1.6,2005,sped
NV,378596,3.5,3.3,3.7,2005,sped
NY,2478126,4.6,4.6,4.7,2005,sped
OH,1674038,4.3,4.2,4.4,2005,sped
OK,548852,2.4,2.3,2.5,2005,sped
OR,510269,8.8,8.6,9.1,2005,sped
PA,1690385,4.7,4.6,4.8,2005,sped
RI,142154,5.4,5.1,5.8,2005,sped
SC,627135,2.5,2.4,2.7,2005,sped
SD,111325,3.5,3.2,3.9,2005,sped
TN,852932,2.6,2.5,2.7,2005,sped
TX,3967303,3.5,3.4,3.5,2005,sped
US,,4.1,4.1,4.1,2005,sped
UT,462190,3.2,3,3.4,2005,sped
VA,1104321,4.3,4.2,4.5,2005,sped
VT,86388,3.1,2.8,3.5,2005,sped
WA,946606,4,3.9,4.2,2005,sped
WI,783574,5.4,5.3,5.6,2005,sped
WV,250295,2.6,2.4,2.8,2005,sped
WY,77589,2.9,2.5,3.3,2005,sped
AK,120981,3.5,3.2,3.9,2006,sped
AL,681551,3,2.9,3.1,2006,sped
AR,426896,3.6,3.4,3.8,2006,sped
AZ,967743,3.9,3.8,4,2006,sped
CA,5824922,5.1,5,5.1,2006,sped
CO,708550,2.2,2.1,2.3,2006,sped
CT,520689,6,5.8,6.2,2006,sped
DE,112988,4.6,4.2,5,2006,sped
FL,2423333,3.5,3.4,3.6,2006,sped
GA,1459386,4.5,4.4,4.6,2006,sped
HI,165116,5,4.7,5.3,2006,sped
IA,437275,2.3,2.2,2.5,2006,sped
ID,243671,3.9,3.7,4.2,2006,sped
IL,1895561,4.7,4.6,4.8,2006,sped
IN,956647,7.3,7.2,7.5,2006,sped
KS,415826,3.4,3.2,3.6,2006,sped
KY,591501,3.3,3.2,3.5,2006,sped
LA,598025,3,2.8,3.1,2006,sped
MA,874637,6.4,6.2,6.5,2006,sped
MD,769833,6.2,6.1,6.4,2006,sped
ME,177662,7.4,7,7.8,2006,sped
MI,1528322,5.9,5.8,6,2006,sped
MN,767534,10.5,10.3,10.7,2006,sped
MO,831553,5,4.9,5.2,2006,sped
MS,442463,1.9,1.8,2,2006,sped
NC,1309437,4.7,4.5,4.8,2006,sped
ND,89043,3.5,3.1,3.9,2006,sped
NE,258567,3.8,3.6,4,2006,sped
NH,190666,4.5,4.2,4.9,2006,sped
NJ,1208203,6,5.9,6.2,2006,sped
NM,296700,1.9,1.7,2,2006,sped
NV,388990,4.1,3.9,4.3,2006,sped
NY,2454653,5.3,5.2,5.4,2006,sped
OH,1671958,5.1,5,5.2,2006,sped
OK,551673,2.8,2.7,2.9,2006,sped
OR,520824,9.8,9.5,10,2006,sped
PA,1728834,5.4,5.3,5.5,2006,sped
RI,139617,7,6.6,7.4,2006,sped
SC,632650,2.9,2.7,3,2006,sped
SD,110296,3.9,3.6,4.3,2006,sped
TN,873891,3.1,3,3.2,2006,sped
TX,4034392,3.9,3.9,4,2006,sped
US,,4.8,4.7,4.8,2006,sped
UT,476054,3.9,3.7,4.1,2006,sped
VA,1110405,4.9,4.8,5.1,2006,sped
VT,84893,3.5,3.1,3.9,2006,sped
WA,945084,4.6,4.5,4.8,2006,sped
WI,782471,6.1,5.9,6.3,2006,sped
WV,250162,3,2.7,3.2,2006,sped
WY,78195,3.3,3,3.8,2006,sped
AK,119725,3.9,3.6,4.3,2007,sped
AL,683355,3.5,3.3,3.6,2007,sped
AR,427439,4.1,3.9,4.3,2007,sped
AZ,984666,4.4,4.3,4.6,2007,sped
CA,5813550,5.9,5.8,6,2007,sped
CO,714642,2.6,2.5,2.7,2007,sped
CT,516557,6.9,6.7,7.1,2007,sped
DE,113174,5.1,4.7,5.6,2007,sped
FL,2422427,4.1,4,4.2,2007,sped
GA,1479890,5,4.9,5.1,2007,sped
HI,163128,5.3,4.9,5.6,2007,sped
IA,434809,2.2,2.1,2.4,2007,sped
ID,247944,4.7,4.4,4.9,2007,sped
IL,1889207,5.3,5.2,5.4,2007,sped
IN,960564,8.2,8,8.4,2007,sped
KS,417143,3.8,3.6,4,2007,sped
KY,597987,3.8,3.7,4,2007,sped
LA,601345,3.4,3.2,3.5,2007,sped
MA,868555,7.4,7.2,7.6,2007,sped
MD,759066,7.1,6.9,7.2,2007,sped
ME,179900,8.6,8.2,9,2007,sped
MI,1520173,6.6,6.4,6.7,2007,sped
MN,764643,12,11.8,12.3,2007,sped
MO,827183,5.7,5.5,5.8,2007,sped
MS,443977,2.3,2.1,2.4,2007,sped
MT,131613,2.8,2.6,3.1,2007,sped
NC,1351567,5.2,5.1,5.3,2007,sped
ND,87420,4.3,3.8,4.7,2007,sped
NE,258565,4.5,4.3,4.8,2007,sped
NH,187669,5.6,5.3,6,2007,sped
NJ,1206035,6.9,6.8,7.1,2007,sped
NM,297866,2.3,2.2,2.5,2007,sped
NV,393628,4.9,4.7,5.2,2007,sped
NY,2423601,6.1,6,6.2,2007,sped
OH,1663480,5.6,5.5,5.7,2007,sped
OK,553905,3.3,3.1,3.4,2007,sped
OR,523572,10.8,10.5,11,2007,sped
PA,1664918,6.7,6.6,6.9,2007,sped
RI,136019,8.2,7.7,8.7,2007,sped
SC,637191,3.4,3.3,3.5,2007,sped
SD,110583,4.2,3.9,4.6,2007,sped
TN,861550,3.8,3.7,3.9,2007,sped
TX,4100375,4.5,4.4,4.5,2007,sped
US,,5.4,5.4,5.5,2007,sped
UT,519166,4.3,4.1,4.5,2007,sped
VA,1112517,5.8,5.6,5.9,2007,sped
WA,948070,5.3,5.2,5.5,2007,sped
WI,777270,6.8,6.6,7,2007,sped
WV,248988,3.4,3.2,3.6,2007,sped
AK,119013,4.5,4.1,4.9,2008,sped
AL,682993,4.1,3.9,4.3,2008,sped
AR,427149,4.7,4.5,4.9,2008,sped
AZ,983587,5.1,4.9,5.2,2008,sped
CA,5783968,6.8,6.7,6.9,2008,sped
CO,726178,3.1,3,3.2,2008,sped
CT,511562,8.1,7.9,8.3,2008,sped
DC,56081,5.1,4.5,5.7,2008,sped
DE,115234,5.8,5.3,6.2,2008,sped
FL,2389359,4.9,4.8,5,2008,sped
GA,1485730,5.5,5.4,5.6,2008,sped
HI,162214,5.7,5.3,6.1,2008,sped
IA,432015,1.5,1.4,1.6,2008,sped
ID,250738,5.4,5.1,5.6,2008,sped
IL,1879956,5.9,5.8,6,2008,sped
IN,958352,9.2,9,9.4,2008,sped
KS,417341,4.2,4,4.4,2008,sped
KY,600466,4.4,4.2,4.5,2008,sped
LA,603649,3.7,3.6,3.9,2008,sped
MA,862851,8.5,8.3,8.7,2008,sped
MD,756510,8.3,8.1,8.5,2008,sped
ME,176567,9.9,9.5,10.4,2008,sped
MI,1487974,7.4,7.3,7.5,2008,sped
MN,760544,13.5,13.2,13.8,2008,sped
MO,824746,6.4,6.2,6.6,2008,sped
MS,442501,2.8,2.7,3,2008,sped
MT,130134,3.3,3,3.6,2008,sped
NC,1346685,5.9,5.8,6.1,2008,sped
ND,86249,5.1,4.7,5.6,2008,sped
NE,258754,5.3,5,5.6,2008,sped
NH,184132,6.1,5.8,6.5,2008,sped
NJ,1205054,7.2,7,7.3,2008,sped
NM,298200,2.9,2.8,3.1,2008,sped
NV,397502,5.7,5.4,5.9,2008,sped
NY,2391967,6.7,6.6,6.8,2008,sped
OH,1648885,6.4,6.3,6.5,2008,sped
OK,555236,3.7,3.6,3.9,2008,sped
OR,522982,11.6,11.3,11.9,2008,sped
PA,1632752,8,7.9,8.1,2008,sped
RI,133452,9.4,8.9,9.9,2008,sped
SC,642269,3.7,3.6,3.9,2008,sped
SD,113488,4.6,4.2,5,2008,sped
TN,878930,4.3,4.2,4.4,2008,sped
TX,4165071,5.1,5,5.2,2008,sped
US,,6.2,6.2,6.2,2008,sped
UT,503252,5.1,4.9,5.3,2008,sped
VA,1115877,6.6,6.5,6.8,2008,sped
WA,952192,6.1,5.9,6.2,2008,sped
WI,770205,7.7,7.5,7.9,2008,sped
WV,248660,3.9,3.7,4.1,2008,sped
WY,79494,4.9,4.4,5.4,2008,sped
AK,119382,5,4.6,5.4,2009,sped
AL,684096,4.7,4.6,4.9,2009,sped
AR,428469,5.2,5,5.5,2009,sped
AZ,984294,6,5.8,6.1,2009,sped
CA,5714230,7.8,7.7,7.9,2009,sped
CO,738477,3.6,3.5,3.8,2009,sped
CT,508413,9.2,9,9.5,2009,sped
DE,116509,6.2,5.8,6.7,2009,sped
FL,2386970,5.7,5.6,5.8,2009,sped
GA,1494420,6,5.9,6.1,2009,sped
HI,162491,6,5.6,6.4,2009,sped
IA,431082,1.5,1.4,1.6,2009,sped
ID,252048,6.1,5.8,6.5,2009,sped
IL,1871351,6.6,6.5,6.8,2009,sped
IN,955993,10,9.8,10.2,2009,sped
KS,423087,4.7,4.5,4.9,2009,sped
KY,600532,4.9,4.8,5.1,2009,sped
LA,607705,4.2,4,4.3,2009,sped
MA,859991,9.4,9.2,9.6,2009,sped
MD,758358,9.1,8.8,9.3,2009,sped
ME,171738,11.4,10.9,11.9,2009,sped
MI,1477988,8,7.9,8.2,2009,sped
MN,760009,14.8,14.6,15.1,2009,sped
MO,823382,7.1,6.9,7.3,2009,sped
MS,441712,3.9,3.7,4.1,2009,sped
NC,1351217,6.7,6.5,6.8,2009,sped
ND,86316,5.9,5.4,6.4,2009,sped
NE,259837,6.1,5.8,6.4,2009,sped
NH,182184,7,6.6,7.4,2009,sped
NJ,1215597,8.3,8.2,8.5,2009,sped
NM,300747,3.6,3.4,3.8,2009,sped
NV,392478,6.7,6.4,6.9,2009,sped
NY,2408209,7.4,7.3,7.5,2009,sped
OH,1603854,7.8,7.6,7.9,2009,sped
OK,562297,4.2,4.1,4.4,2009,sped
OR,521133,12.4,12.1,12.7,2009,sped
PA,1639316,9.1,9,9.3,2009,sped
RI,132755,10,9.5,10.6,2009,sped
SC,645103,4.1,4,4.3,2009,sped
SD,111786,4.9,4.5,5.3,2009,sped
TN,879298,5.1,4.9,5.2,2009,sped
TX,4241747,5.7,5.7,5.8,2009,sped
US,,7,7,7,2009,sped
UT,515677,5.8,5.6,6,2009,sped
VA,1122459,7.6,7.5,7.8,2009,sped
VT,80398,7.8,7.3,8.5,2009,sped
WA,949763,6.7,6.6,6.9,2009,sped
WI,764288,8.5,8.3,8.7,2009,sped
WV,247314,4.5,4.2,4.8,2009,sped
WY,80215,5.6,5.1,6.2,2009,sped
AK,118994,5.6,5.2,6.1,2010,sped
AL,689708,5.4,5.2,5.6,2010,sped
AR,429836,5.8,5.6,6.1,2010,sped
AZ,980187,6.8,6.7,7,2010,sped
CA,5743498,8.6,8.5,8.6,2010,sped
CO,747541,4.2,4.1,4.4,2010,sped
CT,504955,10.1,9.9,10.4,2010,sped
DC,55499,7.1,6.4,7.8,2010,sped
DE,117967,6.3,5.9,6.8,2010,sped
FL,2393471,6.6,6.5,6.7,2010,sped
GA,1502243,6.5,6.4,6.6,2010,sped
HI,161965,6.1,5.7,6.5,2010,sped
IA,429258,1.5,1.4,1.6,2010,sped
ID,252894,6.9,6.6,7.2,2010,sped
IL,1867169,7.3,7.1,7.4,2010,sped
IN,958815,10.5,10.3,10.7,2010,sped
KS,424755,5,4.8,5.3,2010,sped
KY,597317,5.5,5.3,5.7,2010,sped
LA,612625,4.6,4.4,4.8,2010,sped
MA,859444,10.6,10.4,10.9,2010,sped
MD,760130,9.6,9.4,9.9,2010,sped
ME,171011,12.5,12,13.1,2010,sped
MI,1438099,8.7,8.5,8.8,2010,sped
MN,760671,15.8,15.5,16.1,2010,sped
MO,820839,7.9,7.7,8.1,2010,sped
MS,439999,4.7,4.5,4.9,2010,sped
MT,129227,4.2,3.8,4.5,2010,sped
NC,1350523,7.4,7.2,7.5,2010,sped
ND,87345,6.1,5.6,6.6,2010,sped
NE,262433,6.6,6.3,6.9,2010,sped
NH,179644,7.6,7.2,8,2010,sped
NJ,1199711,9.5,9.3,9.6,2010,sped
NM,303454,4.4,4.1,4.6,2010,sped
NV,399604,7.3,7,7.5,2010,sped
NY,2461595,7.8,7.7,8,2010,sped
OH,1594180,8.7,8.6,8.8,2010,sped
OK,565311,4.9,4.7,5.1,2010,sped
OR,520672,12.9,12.6,13.2,2010,sped
PA,1646680,10.2,10.1,10.4,2010,sped
RI,131682,11.3,10.7,11.9,2010,sped
SC,647026,4.7,4.6,4.9,2010,sped
SD,113105,4.9,4.6,5.4,2010,sped
TN,881993,5.7,5.5,5.8,2010,sped
TX,4312398,6.4,6.3,6.5,2010,sped
US,,7.7,7.7,7.7,2010,sped
UT,527133,6.4,6.1,6.6,2010,sped
VA,1127720,8.9,8.7,9.1,2010,sped
VT,79921,8.8,8.1,9.4,2010,sped
WA,955799,7.5,7.3,7.7,2010,sped
WI,761365,9.2,9,9.5,2010,sped
WV,246963,5,4.7,5.3,2010,sped
WY,80816,6.3,5.8,6.9,2010,sped
AK,117959,6.3,5.9,6.8,2011,sped
AL,678737,6.1,5.9,6.3,2011,sped
AR,430885,6.6,6.3,6.8,2011,sped
AZ,986805,7.6,7.4,7.7,2011,sped
CA,5719777,9.5,9.4,9.6,2011,sped
CO,756813,4.9,4.7,5,2011,sped
CT,499575,11.2,10.9,11.5,2011,sped
DC,55520,8,7.3,8.8,2011,sped
DE,117428,7.1,6.6,7.6,2011,sped
FL,2409916,7.4,7.3,7.5,2011,sped
GA,1506291,7.2,7,7.3,2011,sped
HI,164163,6.4,6,6.8,2011,sped
IA,428753,1.5,1.4,1.6,2011,sped
ID,256634,7.2,6.9,7.5,2011,sped
IL,1856885,7.9,7.8,8,2011,sped
IN,953059,11.2,11,11.4,2011,sped
KS,424810,5.5,5.3,5.7,2011,sped
KY,601070,6.1,5.9,6.3,2011,sped
LA,617931,4.9,4.8,5.1,2011,sped
MA,856298,11.7,11.5,11.9,2011,sped
MD,760509,10.1,9.9,10.3,2011,sped
ME,170277,13.3,12.8,13.9,2011,sped
MI,1420628,9.1,8.9,9.2,2011,sped
MN,761037,16.6,16.3,16.9,2011,sped
MO,816789,8.7,8.5,8.9,2011,sped
MS,437230,5.5,5.3,5.7,2011,sped
MT,129177,3,2.7,3.3,2011,sped
NC,1356317,8.1,7.9,8.2,2011,sped
ND,87704,6.6,6.1,7.2,2011,sped
NE,264594,7.5,7.1,7.8,2011,sped
NH,176757,8.8,8.4,9.2,2011,sped
NJ,1177240,10.5,10.3,10.7,2011,sped
NM,302619,4.9,4.7,5.2,2011,sped
NV,401059,8.2,7.9,8.5,2011,sped
NY,2427519,8.4,8.3,8.6,2011,sped
OH,1579692,9.4,9.3,9.6,2011,sped
OK,568946,5.6,5.5,5.8,2011,sped
OR,519468,13.4,13.1,13.8,2011,sped
PA,1626936,11.7,11.5,11.9,2011,sped
RI,130711,12.7,12.1,13.3,2011,sped
SC,647570,5.4,5.2,5.6,2011,sped
SD,113645,5.5,5.1,5.9,2011,sped
TN,891908,6.3,6.1,6.4,2011,sped
TX,4371500,7,7,7.1,2011,sped
US,,8.4,8.4,8.5,2011,sped
UT,537907,6.8,6.5,7,2011,sped
VA,1130504,9.9,9.7,10.1,2011,sped
VT,78287,9.5,8.8,10.2,2011,sped
WA,955171,8.2,8,8.4,2011,sped
WI,755792,10.1,9.9,10.3,2011,sped
WV,246418,5.4,5.1,5.7,2011,sped
WY,81708,7.5,6.9,8.1,2011,sped
AK,117789,7.1,6.7,7.6,2012,sped
AL,676177,6.8,6.6,7,2012,sped
AR,431069,7.2,7,7.5,2012,sped
AZ,993616,8.2,8,8.4,2012,sped
CA,5728978,10.3,10.2,10.4,2012,sped
CO,766235,5.4,5.2,5.5,2012,sped
CT,495151,12.2,11.9,12.5,2012,sped
DC,56954,9,8.2,9.8,2012,sped
DE,117607,7.7,7.2,8.2,2012,sped
FL,2426549,8.3,8.2,8.4,2012,sped
GA,1521243,7.8,7.6,7.9,2012,sped
HI,165531,6.8,6.4,7.2,2012,sped
IA,430715,1.5,1.3,1.6,2012,sped
ID,259742,7.6,7.2,7.9,2012,sped
IL,1844090,8.4,8.3,8.6,2012,sped
IN,951574,12.3,12.1,12.5,2012,sped
KS,426652,6.4,6.1,6.6,2012,sped
KY,604045,6.8,6.5,7,2012,sped
LA,622786,5.4,5.2,5.5,2012,sped
MA,855783,13.1,12.9,13.3,2012,sped
MD,763071,10.6,10.4,10.8,2012,sped
ME,167122,14.6,14,15.2,2012,sped
MI,1407009,9.5,9.4,9.7,2012,sped
MN,764964,17.3,17,17.6,2012,sped
MO,816438,9.5,9.3,9.7,2012,sped
MS,437820,6.4,6.2,6.7,2012,sped
MT,129878,3.5,3.2,3.8,2012,sped
NC,1366747,8.7,8.5,8.9,2012,sped
ND,90685,7.1,6.5,7.6,2012,sped
NE,267579,8.1,7.8,8.4,2012,sped
NH,173822,10.2,9.8,10.7,2012,sped
NJ,1189043,11.2,11,11.4,2012,sped
NM,303049,5.6,5.3,5.8,2012,sped
NV,405383,9,8.7,9.3,2012,sped
NY,2427513,9.2,9,9.3,2012,sped
OH,1570484,10,9.8,10.2,2012,sped
OK,574282,6.5,6.3,6.7,2012,sped
OR,521072,13.9,13.6,14.2,2012,sped
PA,1620867,12.7,12.5,12.9,2012,sped
RI,129627,13.4,12.8,14.1,2012,sped
SC,653571,6.3,6.2,6.5,2012,sped
SD,115453,5.9,5.4,6.3,2012,sped
TN,885214,6.8,6.7,7,2012,sped
TX,4436112,7.6,7.5,7.7,2012,sped
US,,9.1,9.1,9.2,2012,sped
UT,550572,7.3,7.1,7.5,2012,sped
VA,1135632,10.9,10.7,11.1,2012,sped
VT,77646,10.2,9.5,10.9,2012,sped
WA,958439,8.9,8.7,9,2012,sped
WI,755006,10.9,10.6,11.1,2012,sped
WV,245478,5.8,5.5,6.1,2012,sped
WY,82862,8,7.5,8.7,2012,sped
AK,117065,7.8,7.3,8.3,2013,sped
AL,677032,7.5,7.3,7.7,2013,sped
AR,434806,7.8,7.5,8,2013,sped
AZ,1007136,8.8,8.6,9,2013,sped
CA,5723381,11.1,11.1,11.2,2013,sped
CO,778033,5.7,5.6,5.9,2013,sped
CT,491004,13,12.6,13.3,2013,sped
DC,58956,9.8,9,10.6,2013,sped
DE,119786,8.2,7.7,8.7,2013,sped
FL,2454956,9.3,9.2,9.4,2013,sped
GA,1541824,8.3,8.2,8.5,2013,sped
HI,167476,6.9,6.6,7.4,2013,sped
IA,433649,1.4,1.3,1.5,2013,sped
ID,268999,7.9,7.5,8.2,2013,sped
IL,1840920,9.2,9.1,9.3,2013,sped
IN,951113,12.8,12.6,13,2013,sped
KS,432946,6.9,6.7,7.1,2013,sped
KY,597518,7.6,7.4,7.8,2013,sped
LA,624795,5.8,5.6,6,2013,sped
MA,856567,14.4,14.1,14.6,2013,sped
MD,768810,11.1,10.9,11.3,2013,sped
ME,165540,15,14.4,15.6,2013,sped
MI,1398112,10,9.8,10.1,2013,sped
MN,770799,18,17.7,18.3,2013,sped
MO,817104,10,9.8,10.2,2013,sped
MS,437397,7.2,7,7.5,2013,sped
MT,130651,3.9,3.6,4.2,2013,sped
NC,1377670,9.4,9.2,9.5,2013,sped
ND,93071,7.4,6.8,7.9,2013,sped
NE,269195,8.9,8.6,9.3,2013,sped
NH,171231,11.4,10.9,11.9,2013,sped
NJ,1191399,11.9,11.7,12.1,2013,sped
NM,304011,6.4,6.1,6.6,2013,sped
NV,411226,9.6,9.3,9.9,2013,sped
NY,2427327,10.1,10,10.2,2013,sped
OH,1564631,10.7,10.5,10.8,2013,sped
OK,582209,6.8,6.6,7,2013,sped
OR,524370,14.1,13.8,14.4,2013,sped
PA,1617377,14,13.8,14.2,2013,sped
RI,129276,14,13.4,14.7,2013,sped
SC,663136,7.1,6.9,7.3,2013,sped
SD,116127,6.1,5.7,6.6,2013,sped
TN,889199,7.5,7.3,7.7,2013,sped
TX,4513821,8.3,8.2,8.4,2013,sped
US,,9.8,9.8,9.9,2013,sped
UT,562702,7.5,7.3,7.7,2013,sped
VA,1144601,11.7,11.5,11.9,2013,sped
VT,76808,10.9,10.2,11.7,2013,sped
WA,965420,9.4,9.2,9.6,2013,sped
WI,756115,11.5,11.3,11.8,2013,sped
WV,243945,6.4,6.1,6.7,2013,sped
WY,84077,8.6,8,9.2,2013,sped
AK,117543,8.5,8,9.1,2014,sped
AL,675149,8.1,7.9,8.3,2014,sped
AR,437275,8.3,8,8.6,2014,sped
AZ,1019375,9.3,9.1,9.5,2014,sped
CA,5717500,12,11.9,12.1,2014,sped
CO,791275,6.2,6.1,6.4,2014,sped
CT,487037,13.9,13.6,14.2,2014,sped
DC,60718,10.2,9.4,11,2014,sped
DE,122317,9.3,8.8,9.9,2014,sped
FL,2493779,10.2,10.1,10.4,2014,sped
GA,1564671,8.9,8.7,9,2014,sped
HI,168899,7.3,6.9,7.7,2014,sped
IA,436504,1.4,1.3,1.5,2014,sped
ID,266586,8.5,8.1,8.8,2014,sped
IL,1831161,9.8,9.7,10,2014,sped
IN,949973,13.3,13.1,13.6,2014,sped
KS,434554,7.3,7,7.6,2014,sped
KY,608929,8,7.7,8.2,2014,sped
LA,632481,6.1,5.9,6.3,2014,sped
MA,858611,15.5,15.2,15.7,2014,sped
MD,777929,11.3,11.1,11.6,2014,sped
ME,164158,15.2,14.6,15.8,2014,sped
MI,1383880,10.3,10.1,10.5,2014,sped
MN,777804,18.4,18.1,18.7,2014,sped
MO,817879,10.8,10.6,11.1,2014,sped
MS,438190,7.9,7.7,8.2,2014,sped
MT,131621,4.4,4,4.8,2014,sped
NC,1396051,10,9.8,10.2,2014,sped
ND,95492,8.3,7.7,8.9,2014,sped
NE,273431,9.5,9.1,9.8,2014,sped
NH,169433,12.3,11.7,12.8,2014,sped
NJ,1194487,12.7,12.5,12.9,2014,sped
NM,305701,6.8,6.5,7.1,2014,sped
NV,419082,11.1,10.8,11.4,2014,sped
NY,2435476,10.9,10.8,11,2014,sped
OH,1564662,11.2,11.1,11.4,2014,sped
OK,589376,7.5,7.3,7.7,2014,sped
OR,529212,14.5,14.2,14.8,2014,sped
PA,1607656,15,14.8,15.1,2014,sped
RI,129705,14.4,13.8,15.1,2014,sped
SC,673967,8,7.8,8.2,2014,sped
SD,118485,6.6,6.2,7.1,2014,sped
TN,894603,8.1,7.9,8.2,2014,sped
TX,4601387,8.9,8.9,9,2014,sped
US,,10.5,10.5,10.5,2014,sped
UT,573594,7.9,7.6,8.1,2014,sped
VA,1153689,12.5,12.3,12.7,2014,sped
VT,75559,11.3,10.6,12.1,2014,sped
WA,979763,9.9,9.7,10.1,2014,sped
WI,755177,12.2,11.9,12.4,2014,sped
WV,244197,6.7,6.4,7.1,2014,sped
AK,118699,9.4,8.8,9.9,2015,sped
AL,674946,8.6,8.4,8.8,2015,sped
AR,438292,8.9,8.7,9.2,2015,sped
AZ,1019034,9.8,9.6,10,2015,sped
CA,5689280,12.9,12.8,13,2015,sped
CO,802257,6.8,6.6,7,2015,sped
CT,482907,14.7,14.4,15,2015,sped
DC,63804,10.9,10.1,11.7,2015,sped
DE,123254,10.6,10.1,11.2,2015,sped
FL,2532598,11.2,11.1,11.3,2015,sped
GA,1581764,9.6,9.4,9.7,2015,sped
HI,165143,7.8,7.4,8.3,2015,sped
IA,439825,1.4,1.3,1.5,2015,sped
ID,268654,9.1,8.7,9.4,2015,sped
IL,1818262,10.4,10.3,10.6,2015,sped
IN,950139,13.7,13.5,14,2015,sped
KS,435155,7.7,7.4,7.9,2015,sped
KY,609496,8.7,8.4,8.9,2015,sped
LA,636551,6.7,6.5,6.9,2015,sped
MA,866134,16.2,16,16.5,2015,sped
MD,783637,11.6,11.4,11.9,2015,sped
ME,163244,16,15.4,16.6,2015,sped
MI,1370009,10.8,10.6,11,2015,sped
MN,785350,18.8,18.5,19.1,2015,sped
MO,818676,11.7,11.4,11.9,2015,sped
MS,436866,8.6,8.3,8.9,2015,sped
MT,132659,4.9,4.6,5.3,2015,sped
NC,1408521,10.6,10.4,10.8,2015,sped
ND,97489,8.7,8.1,9.3,2015,sped
NE,276975,10.1,9.8,10.5,2015,sped
NH,166251,13.3,12.7,13.8,2015,sped
NJ,1190893,13.4,13.2,13.6,2015,sped
NM,302489,7.8,7.5,8.1,2015,sped
NV,426638,11.8,11.5,12.2,2015,sped
NY,2421417,11.8,11.6,11.9,2015,sped
OH,1559370,11.7,11.6,11.9,2015,sped
OK,596154,8.3,8.1,8.5,2015,sped
OR,534754,14.8,14.5,15.1,2015,sped
PA,1588330,16.1,15.9,16.3,2015,sped
RI,129667,14.8,14.1,15.5,2015,sped
SC,683490,8.8,8.6,9.1,2015,sped
SD,119401,7.9,7.4,8.4,2015,sped
TN,896509,8.7,8.5,8.9,2015,sped
TX,4681157,9.5,9.5,9.6,2015,sped
US,,11.2,11.2,11.2,2015,sped
UT,585739,8.3,8.1,8.5,2015,sped
VA,1159195,13.3,13.1,13.6,2015,sped
VT,74724,11.9,11.2,12.7,2015,sped
WA,993605,10.6,10.4,10.8,2015,sped
WI,753815,12.9,12.7,13.2,2015,sped
WV,242212,7.7,7.4,8.1,2015,sped
WY,86367,9.2,8.6,9.8,2015,sped
AK,119217,10.1,9.5,10.7,2016,sped
AL,674701,9.1,8.9,9.3,2016,sped
AR,440130,9.5,9.3,9.8,2016,sped
AZ,1033143,10.4,10.2,10.6,2016,sped
CA,5685428,13.9,13.8,14,2016,sped
CO,808556,7.3,7.1,7.5,2016,sped
CT,479942,15.4,15,15.7,2016,sped
DC,65732,11.9,11.1,12.7,2016,sped
DE,124609,11.1,10.5,11.7,2016,sped
FL,2555399,12.1,12,12.3,2016,sped
GA,1589860,10.3,10.1,10.5,2016,sped
HI,164822,8.3,7.9,8.7,2016,sped
IA,442346,1.4,1.3,1.5,2016,sped
ID,273516,9.5,9.2,9.9,2016,sped
IL,1806812,11,10.8,11.1,2016,sped
